nome,equipe,posição,PTS,REB,AST,STL,BLK,FG%
Nikola Jokic,Denver Nuggets,C,26.4,12.4,9.0,1.4,0.9,58.3
Luka Doncic,Los Angeles Lakers,PG,33.9,9.2,9.8,1.4,0.5,48.7
Giannis Antetokounmpo,Milwaukee Bucks,PF,30.4,11.5,6.5,1.2,1.1,61.1
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,30.1,5.5,6.2,2.0,0.9,53.5
Joel Embiid,Philadelphia 76ers,C,34.7,11.0,5.6,1.2,1.7,52.9
Jayson Tatum,Boston Celtics,SF,26.9,8.1,4.9,1.0,0.6,47.1
Kevin Durant,Phoenix Suns,PF,27.1,6.6,4.2,0.9,1.2,52.3
LeBron James,Los Angeles Lakers,SF,25.7,7.3,8.3,1.3,0.5,54.0
Stephen Curry,Golden State Warriors,PG,26.4,4.5,5.1,0.7,0.4,45.0
Anthony Edwards,Minnesota Timberwolves,SG,25.9,5.4,5.1,1.3,0.5,46.1
Devin Booker,Phoenix Suns,SG,27.1,4.5,6.9,0.9,0.4,49.8
Damian Lillard,Milwaukee Bucks,PG,24.3,4.4,7.0,1.0,0.2,42.6
Jimmy Butler,Miami Heat,SF,20.8,5.3,5.0,1.3,0.4,49.9
Kawhi Leonard,Los Angeles Clippers,SF,23.7,6.1,3.6,1.6,0.9,51.0
Paul George,Philadelphia 76ers,SF,22.6,5.2,3.5,1.5,0.4,45.1
Trae Young,Atlanta Hawks,PG,25.7,2.8,10.8,1.3,0.1,43.0
Donovan Mitchell,Cleveland Cavaliers,SG,26.6,5.1,6.1,1.8,0.5,46.3
Domantas Sabonis,Sacramento Kings,C,19.4,13.7,8.2,0.9,0.6,61.2
Anthony Davis,Los Angeles Lakers,PF,24.7,12.6,3.5,1.2,2.3,55.6
Karl-Anthony Towns,New York Knicks,C,21.8,8.3,3.0,0.7,0.6,50.4
