Jogador,Time,Posicao,PPG,RPG,APG,BLK,STL,FG%
Shai Gilgeous-Alexander,OKC,PG,32.7,5.0,6.4,1.0,1.7,51.9
Giannis Antetokounmpo,MIL,PF,30.4,11.9,6.5,1.2,0.9,60.1
Nikola Jokic,DEN,C,29.6,12.7,10.2,0.6,1.8,57.6
Luka Doncic,DAL/LAL,PG,28.2,8.2,7.7,0.4,1.8,45.0
Anthony Edwards,MIN,SG,27.6,5.7,4.5,0.6,1.2,44.7
Jayson Tatum,BOS,PF,26.8,8.7,6.0,0.5,1.1,45.2
Kevin Durant,PHO,PF,26.6,6.0,4.2,1.2,0.8,52.7
Tyrese Maxey,PHI,PG,26.3,3.3,6.1,0.4,1.8,43.7
Cade Cunningham,DET,PG,26.1,6.1,9.1,0.8,1.0,46.9
Jalen Brunson,NYK,PG,26.0,2.9,7.3,0.1,0.9,48.8
Paolo Banchero,ORL,PF,25.9,7.5,4.8,0.6,0.8,45.2
Devin Booker,PHO,SG,25.6,4.1,7.1,0.2,0.9,46.1
LaMelo Ball,CHO,PG,25.2,4.9,7.4,0.3,1.1,40.5
Damian Lillard,MIL,PG,24.9,4.7,7.1,0.2,1.2,44.8
Anthony Davis,LAL/DAL,C,24.7,11.6,3.5,2.2,1.2,51.6
Kyrie Irving,DAL,SG,24.7,4.8,4.6,0.5,1.3,47.3
Stephen Curry,GSW,PG,24.5,4.4,6.0,0.4,1.1,44.8
LeBron James,LAL,SF,24.4,7.8,8.2,0.6,1.0,51.3
Karl-Anthony Towns,NYK,C,24.4,12.8,3.1,0.7,1.0,52.6
Victor Wembanyama,SAS,C,24.3,11.0,3.7,3.8,1.1,47.6
Trae Young,ATL,PG,24.2,3.1,11.6,0.2,1.2,41.1
Domantas Sabonis,SAC,C,19.1,13.9,6.0,0.4,0.7,59.0
