nome,equipe,posição,PTS,REB,AST,STL,BLK,FG%
Charlie "CB13" Bostwick,Warriors Gaming Squad,PG,18.9,3.1,6.9,1.4,0.2,47.8
Jaden "Nay" Bhopal,Warriors Gaming Squad,C,11.8,11.8,1.5,0.8,1.6,79.6
Kenneth "Kenny Got Work" Hailey,Warriors Gaming Squad,SG,13.4,3.8,2.9,2.0,0.3,50.2
Nidal "Mama Im Dat Man" Nasser,Warriors Gaming Squad,SF,20.2,4.9,3.6,1.1,0.4,46.9
Jeremy "Seese" Seese,Warriors Gaming Squad,PF,14.6,7.2,2.4,0.9,0.7,52.3
Dhwan "ShiftyKaii" White,Lakers Gaming,SG,24.4,3.5,4.3,1.2,0.2,44.6
Veron "YooVc" Coates,Lakers Gaming,PG,16.1,2.9,5.4,1.5,0.1,45.3
Artreyo "Dimez" Boyd,Bucks Gaming,SF,19.7,5.6,3.2,1.0,0.5,49.1
Tariq "Greens" Reed,Free Agent (Draft Prospect),PG,21.3,3.0,6.1,1.3,0.1,46.4
Donovan "SELDUM T5" Mass,Cavs Legion GC,SG,15.8,3.4,3.0,1.6,0.3,45.7
